"(210, 184, 166, 255)","(199, 121, 117, 255)"
"(203, 175, 157, 255)","(182, 131, 131, 255)"
"(224, 183, 165, 255)","(223, 143, 163, 255)"
"(178, 145, 125, 255)","(154, 110, 105, 255)"
"(214, 189, 184, 255)","(192, 140, 146, 255)"
"(241, 204, 189, 255)","(226, 142, 139, 255)"
"(221, 182, 174, 255)","(218, 146, 160, 255)"
"(241, 213, 201, 255)","(239, 175, 184, 255)"
"(231, 190, 145, 255)","(234, 135, 117, 255)"
"(191, 166, 154, 255)","(184, 125, 134, 255)"
"(213, 185, 179, 255)","(197, 111, 125, 255)"
"(211, 168, 147, 255)","(188, 115, 111, 255)"
"(206, 194, 187, 255)","(200, 112, 135, 255)"
"(228, 197, 177, 255)","(224, 148, 156, 255)"
"(186, 129, 103, 255)","(180, 88, 82, 255)"
"(235, 213, 205, 255)","(235, 145, 179, 255)"
"(235, 203, 193, 255)","(230, 168, 164, 255)"
"(222, 200, 198, 255)","(223, 143, 139, 255)"
"(215, 177, 159, 255)","(202, 128, 119, 255)"
